2017.09.10 19:53:50.430   Player found, idx:3
2017.09.10 19:53:50.431   Stuff found, idx:27
2017.09.10 19:53:50.512   Player found, idx:1
2017.09.10 19:53:50.794   Player found, idx:3
2017.09.10 19:53:50.794   Stuff found, idx:27
2017.09.10 19:53:50.896   Player found, idx:1
2017.09.10 19:53:51.177   Player found, idx:3
2017.09.10 19:53:51.177   Stuff found, idx:27
2017.09.10 19:53:51.263   Player found, idx:1
2017.09.10 19:53:51.546   Player found, idx:3
2017.09.10 19:53:51.547   Stuff found, idx:27
2017.09.10 19:53:51.646   Player found, idx:1
2017.09.10 19:53:51.929   Player found, idx:3
2017.09.10 19:53:51.930   Stuff found, idx:27
2017.09.10 19:53:52.013   Player found, idx:1
2017.09.10 19:53:52.294   Player found, idx:3
2017.09.10 19:53:52.294   Stuff found, idx:27
2017.09.10 19:53:52.397   Player found, idx:1
2017.09.10 19:53:52.679   Player found, idx:3
2017.09.10 19:53:52.680   Stuff found, idx:27
2017.09.10 19:53:52.773   Player found, idx:1
2017.09.10 19:53:53.044   Player found, idx:3
2017.09.10 19:53:53.044   Stuff found, idx:27
2017.09.10 19:53:53.146   Player found, idx:1
2017.09.10 19:53:53.428   Player found, idx:3
2017.09.10 19:53:53.428   Stuff found, idx:27
2017.09.10 19:53:53.514   Player found, idx:1
2017.09.10 19:53:53.794   Player found, idx:3
2017.09.10 19:53:53.794   Stuff found, idx:27
2017.09.10 19:53:53.896   Player found, idx:1
2017.09.10 19:53:54.179   Player found, idx:3
2017.09.10 19:53:54.180   Stuff found, idx:27
2017.09.10 19:53:54.261   Player found, idx:1
2017.09.10 19:53:54.544   Player found, idx:3
2017.09.10 19:53:54.544   Stuff found, idx:27
2017.09.10 19:53:54.648   Player found, idx:1
2017.09.10 19:53:54.930   Player found, idx:3
2017.09.10 19:53:54.931   Stuff found, idx:27
2017.09.10 19:53:55.015   Player found, idx:1
2017.09.10 19:53:55.294   Player found, idx:3
2017.09.10 19:53:55.294   Stuff found, idx:27
2017.09.10 19:53:55.396   Player found, idx:1
2017.09.10 19:53:55.679   Player found, idx:3
2017.09.10 19:53:55.680   Stuff found, idx:27
2017.09.10 19:53:55.761   Player found, idx:1
2017.09.10 19:53:56.047   Player found, idx:3
2017.09.10 19:53:56.047   Stuff found, idx:27
2017.09.10 19:53:56.146   Player found, idx:1
2017.09.10 19:53:56.430   Player found, idx:3
2017.09.10 19:53:56.430   Stuff found, idx:27
2017.09.10 19:53:56.513   Player found, idx:1
2017.09.10 19:53:56.797   Player found, idx:3
2017.09.10 19:53:56.797   Stuff found, idx:27
2017.09.10 19:53:56.896   Player found, idx:1
2017.09.10 19:53:57.177   Player found, idx:3
2017.09.10 19:53:57.178   Stuff found, idx:27
2017.09.10 19:53:57.263   Player found, idx:1
2017.09.10 19:53:57.547   Player found, idx:3
2017.09.10 19:53:57.547   Stuff found, idx:27
2017.09.10 19:53:57.647   Player found, idx:1
2017.09.10 19:53:57.930   Player found, idx:3
2017.09.10 19:53:57.930   Stuff found, idx:27
2017.09.10 19:53:58.013   Player found, idx:1
2017.09.10 19:53:58.296   Player found, idx:3
2017.09.10 19:53:58.297   Stuff found, idx:27
2017.09.10 19:53:58.396   Player found, idx:1
2017.09.10 19:53:58.681   Player found, idx:3
2017.09.10 19:53:58.682   Stuff found, idx:27
2017.09.10 19:53:58.763   Player found, idx:1
2017.09.10 19:53:59.044   Player found, idx:3
2017.09.10 19:53:59.045   Stuff found, idx:27
2017.09.10 19:53:59.146   Player found, idx:1
2017.09.10 19:53:59.430   Player found, idx:3
2017.09.10 19:53:59.430   Stuff found, idx:27
2017.09.10 19:53:59.513   Player found, idx:1
2017.09.10 19:53:59.794   Player found, idx:3
2017.09.10 19:53:59.794   Stuff found, idx:27
2017.09.10 19:54:00.011   Player found, idx:1
2017.09.10 19:54:00.213   Player found, idx:3
2017.09.10 19:54:00.214   Stuff found, idx:27
2017.09.10 19:54:00.313   Player found, idx:1
2017.09.10 19:54:00.596   Player found, idx:3
2017.09.10 19:54:00.597   Stuff found, idx:27
2017.09.10 19:54:00.696   Player found, idx:1
2017.09.10 19:54:00.977   Player found, idx:3
2017.09.10 19:54:00.978   Stuff found, idx:27
2017.09.10 19:54:01.063   Player found, idx:1
2017.09.10 19:54:01.462   Player found, idx:3
2017.09.10 19:54:01.463   Stuff found, idx:27
2017.09.10 19:54:01.483   Player found, idx:1
2017.09.10 19:54:01.763   Player found, idx:3
2017.09.10 19:54:01.764   Stuff found, idx:27
2017.09.10 19:54:01.864   Player found, idx:1
2017.09.10 19:54:02.147   Player found, idx:3
2017.09.10 19:54:02.147   Stuff found, idx:27
2017.09.10 19:54:02.230   Player found, idx:1
2017.09.10 19:54:02.511   Player found, idx:3
2017.09.10 19:54:02.512   Stuff found, idx:27
2017.09.10 19:54:02.611   Player found, idx:1
2017.09.10 19:54:02.897   Player found, idx:3
2017.09.10 19:54:02.897   Stuff found, idx:27
2017.09.10 19:54:02.980   Player found, idx:1
2017.09.10 19:54:03.263   Player found, idx:3
2017.09.10 19:54:03.264   Stuff found, idx:27
2017.09.10 19:54:03.361   Player found, idx:1
2017.09.10 19:54:03.644   Player found, idx:3
2017.09.10 19:54:03.644   Stuff found, idx:27
2017.09.10 19:54:03.747   Player found, idx:1
2017.09.10 19:54:04.013   Player found, idx:3
2017.09.10 19:54:04.014   Stuff found, idx:27
2017.09.10 19:54:04.114   Player found, idx:1
2017.09.10 19:54:04.397   Player found, idx:3
2017.09.10 19:54:04.397   Stuff found, idx:27
2017.09.10 19:54:04.480   Player found, idx:1
2017.09.10 19:54:04.763   Player found, idx:3
2017.09.10 19:54:04.763   Stuff found, idx:27
2017.09.10 19:54:04.863   Player found, idx:1
2017.09.10 19:54:05.147   Player found, idx:3
2017.09.10 19:54:05.147   Stuff found, idx:27
2017.09.10 19:54:05.230   Player found, idx:1
2017.09.10 19:54:05.513   Player found, idx:3
2017.09.10 19:54:05.514   Stuff found, idx:27
2017.09.10 19:54:05.613   Player found, idx:1
2017.09.10 19:54:05.897   Player found, idx:3
